지역,위도,경도
강원 강릉시,37.7525313,128.8759523
인천 계양구,37.5373539,126.7379078
서울 영등포구,37.5262,126.8959
서울 용산구,37.5545547,126.9707793
서울 은평구,37.6024,126.9293
서울 종로구,37.5806949,126.9827989
서울 중구,37.5636559,126.9975097
서울 중랑구,37.6063,127.093
세종 세종특별자치시,36.58836025,127.29513866089633
울산 남구,35.4984869,129.34593623469863
울산 동구,35.5046663,129.4170114
울산 북구,35.5826,129.3604
울산 울주군,35.5222362,129.2423693
울산 중구,35.5693863,129.3327997
인천 강화군,37.746,126.488
인천 남동구,37.446902,126.7315126
부산 기장군,35.2447818,129.2215462
인천 동구,37.4736019,126.643227
인천 미추홀구,37.4636,126.6502
인천 부평구,37.5070221,126.7220068
인천 서구,37.545,126.676
인천 연수구,37.4098,126.6787
인천 옹진군,37.533,126.429
인천 중구,37.4766821,126.6168874
전남 강진군,34.641917,126.7669591
전남 고흥군,34.6044123,127.276384
전남 곡성군,35.2818969,127.2914673
전남 광양시,34.9406452,127.6959512
전남 구례군,35.2203329,127.473277
전남 나주시,35.0158859,126.7108313
서울 양천구,37.5171,126.8663
서울 송파구,37.5145,127.1058
서울 성북구,37.59,127.0165
서울 성동구,37.5635,127.0365
부산 동구,35.1157823,129.04265
부산 동래구,35.2052,129.0837
부산 부산진구,35.1632335,129.0529462
부산 북구,35.1969,128.9901999
부산 사상구,35.1521,128.9911
부산 사하구,35.1041,128.9751
부산 서구,35.0974999,129.0241
부산 수영구,35.1454,129.1127
부산 연제구,35.1765,129.0793
부산 영도구,35.0908,129.0678
부산 중구,35.106501,129.0325814
부산 해운대구,35.1629,129.1638
서울 강남구,37.5177,127.0473
서울 강동구,37.53,127.1237
서울 강북구,37.6395,127.0255
서울 강서구,37.5509,126.8497
서울 관악구,37.4782,126.9518
서울 광진구,37.5384,127.0828
서울 구로구,37.4951999,126.8877
서울 금천구,37.4565,126.8954
서울 노원구,37.654,127.0567
서울 도봉구,37.6686,127.0466
서울 동대문구,37.5741982,127.0395092
서울 동작구,37.5120999,126.9395
서울 마포구,37.566571,126.9015317
서울 서대문구,37.5790747,126.9367861
서울 서초구,37.4835,127.0322
전남 담양군,35.320878,126.9883238
전남 목포시,34.7903335,126.3847547
전남 무안군,34.9905794,126.4812377
충남 계룡시,36.275523,127.2472702
충남 금산군,36.1087249,127.48815
충남 논산시,36.1868623,127.0987857
충남 당진시,36.8904083,126.6461833
충남 보령시,36.33401,126.613165
충남 부여군,36.2753678,126.910107
충남 서산시,36.784499,126.450317
충남 서천군,36.0800688,126.6916052
충남 아산시,36.7899498,127.0026769
충남 예산군,36.6808989,126.8448742
충남 천안시 동남구,36.8067134,127.1516634
충남 천안시 서북구,36.8783935,127.1552727
