지역,위도,경도
속초,38.2039506,128.5630404
부안,37.398025000000004,126.95446200722962
북창원,35.2858458,128.608383
순창군,35.3741,127.1374
김해시,35.2310947,128.8908228
영광군,40.11726805,127.34221350044098
고창군,35.4355,126.7021
장수,33.2468871,126.5188623
남원,35.4112509,127.3613332
정읍,35.5757734,126.8419169
임실,35.6329664,127.2898846
세종,36.4799999,127.289
보성군,34.7711356,127.0798978
금산,36.9809061,129.3420571
부여,36.2753678,126.910107
보령,36.3356813,126.60475922789277
천안,36.8102804,127.14684
보은,35.5093709,129.1434682
제천,37.1270743,128.2059637
정선군,37.380456,128.6609485
태백,37.17609425,128.98423114660807
홍천,37.707204000000004,127.90786680993409
양산시,35.3349979,129.0370582
강진군,34.641917,126.7669591
이천,35.9296539,128.2471106
영덕,36.4104516,129.3783024
거제,35.1901576,129.0749301
산청,34.8875479,127.5750107
밀양,35.4748507,128.7714177
합천,35.1770278,128.8152507
거창,35.7059427,128.0578476
경주시,35.8556705,129.2248811
영천,35.9590454,128.9388909
구미,36.1283119,128.3310455
의성,36.35336,128.693128
청송군,36.4358,129.0571
장흥,37.7187055,126.9415356
문경,36.736836,128.104278
영주,36.8109445,128.625578
봉화,36.8914813,128.7268956
진도군,34.4867515,126.2629264
광양시,34.9406452,127.6959512
함양군,35.5204145,127.7252966
의령군,35.322003,128.2617827
고흥,34.760769,126.3982478
해남,34.6410127,126.6327545
인제,38.0706646,128.1727969
양평,37.4928474,127.4918972
북춘천,0.0,0.0
인천,37.456,126.7052
대전,36.3497007,127.3849016
청주,36.6471132,127.3923613
울진,36.993,129.4006
서산,35.9344056,129.279525
충주,36.9750285,127.9079764
영월,37.1821719,128.4809263
수원,37.2662775,127.0004098
울릉도,37.5011143,130.8586063801417
원주,37.3164083,127.9228206
서울,37.5666791,126.9782914
안동,36.57458325,128.6748746511974
동해,43.060053350000004,137.33530126992395
강릉,37.76452,128.8993979
북강릉,0.0,0.0
백령도,37.9498034,124.67242953025888
춘천,37.8845604,127.716664
대관령,37.6871232,128.7604146
파주,37.8150577,126.7924283
동두천,37.9278263,127.0547822
철원,38.2109138,127.2116357
추풍령,36.2128103,127.9963927
상주,36.41032,128.16376832753508
강화,37.7451257,126.4883107
흑산도,34.66085065,125.40609935024652
진주,35.1501201,128.1183494
서귀포,33.2560631,126.50846640678873
성산,36.7797583,128.5576222
고산,35.8429485,128.693313
제주,33.4887737,126.4987083
홍성,36.5993365,126.6812157
순천,34.9458107,127.5040597
고창,35.44140095,126.6951605319788
완도,34.34488865,126.69105884062179
여수,34.7555141,127.7492394
포항,36.0712333,129.3426784
목포,34.7921339,126.3876448
통영,34.774838,127.724181
부산,35.1799528,129.0752365
광주,35.1594647,126.8515034
창원,35.2581253,128.6070336
울산,35.5391697,129.3119136
전주,35.8500537,127.1623649
대구,35.8713,128.6018
군산,35.9993608,126.7602959
남해,34.1347188,128.0619728
