,명칭,주소,위도,경도,사진
0,평화누리길 4코스 행주나루길,경기도 고양시 덕양구 행주로15번길 89(행주외동),37.5961203093,126.8264701618,평화누리길 4코스 행주나루길.jpg
1,[무등산 옛길 2구간] 원효사~서석대,광주광역시 북구 무등로 1514-35(금곡동),35.14867027,126.9857932325,[무등산 옛길 2구간] 원효사~서석대.jpg
2,유성컨트리클럽,대전광역시 유성구 현충원로 200(덕명동),36.3536830181,127.2902486406,유성컨트리클럽.jpg
3,천안시 태조산청소년수련관,충청남도 천안시 동남구 태조산길 261 태조산청소년수련관,36.8210858969,127.1885561346,천안시 태조산청소년수련관.jpg
4,구미시평생교육원,경상북도 구미시 산호대로 243,36.1055838153,128.3839608909,구미시평생교육원.jpg
5,마량항,전라남도 강진군 마량면 미항로 157,34.4494544202,126.8192612135,마량항.jpg
6,광명시민체육관 실내경기장,경기도 광명시 오리로 703(하안동),37.4618867172,126.8717253645,광명시민체육관 실내경기장.jpg
7,한탄강 래프팅,강원특별자치도 철원군 갈말읍 삼부연로,38.1468538192,127.3134347336,한탄강 래프팅.jpg
8,동강 래프팅(영월),강원특별자치도 영월군 영월읍 제방안길(영월읍),37.1959002553,128.5038327432,동강 래프팅(영월).jpg
9,금광저수지,경기도 안성시 금광면 금광리(금광면),36.9975515315,127.3357324134,금광저수지.JPG
10,한탄강썬래프팅,강원특별자치도 철원군 갈말읍 호국로 5053-1,38.1700901051,127.3195557077,한탄강썬래프팅.jpg
11,[서울둘레길 3코스] 고덕·일자산코스,서울특별시 광진구 천호대로 813-2(광장동),37.5454061815,127.1040462967,[서울둘레길 3코스] 고덕·일자산코스.jpg
12,하이원추추파크,강원특별자치도 삼척시 도계읍 심포남길 99,37.184003532,129.0385963575,하이원추추파크.JPG
13,세리월드,제주특별자치도 서귀포시 법환상로2번길 97-17 (법환동),33.2470442084,126.5120270623,세리월드.jpg
14,의왕레일파크,경기도 의왕시 왕송못동로 209,37.3108778568,126.9502807778,의왕레일파크.jpg
15,[경기옛길 의주길 제5길] 임진나루길(선유삼거리 ~ 임진각),경기 파주시 문산읍 운천리 산10-15,37.8912157586,126.7862321422,[경기옛길 의주길 제5길] 임진나루길(선유삼거리 ~ 임진각).jpg
16,양천구 둘레길(산림형),서울특별시 양천구 중앙로17길 21(신정동),37.509791975,126.8555338285,양천구 둘레길(산림형).jpg
17,시민의 숲 야영장,광주광역시 북구 추암로 190(월출동),35.233058715,126.866351676,시민의 숲 야영장.jpg
18,회동수원지 둘레길,부산광역시 금정구 개좌로 147(회동동),35.2252550204,129.116648768,회동수원지 둘레길.jpg
19,가산글램핑,경상북도 칠곡군 가산면 학하2길 86,36.0899705981,128.4749449452,가산글램핑.jpg
20,밀양VIP오토캠핑장,경상남도 밀양시 단장면 고례3길 10-11,35.4973709411,128.9265606201,밀양VIP오토캠핑장.jpg
